config,holdout_workload,case_id,workload,stressor,label,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3
tier0,ALL,VIDEO_SW__CACHE,VIDEO_SW,CACHE,1,tier0,0.01288029588644882,0.0,0.0,1.0,0.0,0.0,memory_io,0.0023185606840109164,0.18000834021602266,0.007055792992346884,0.5477974306296943,0.0,0.0,0.002210589359914354,0.17162566600974472,0.001295352850176664,0.1005685631445382,tier0:mem_free_bytes,0.0013451507741436771,tier0:ctx_switches,0.0010709765824059299,tier0:uptime_s,0.0006420630245049003,tier0:swap_used_bytes,0.0006155536458940853,tier0:mem_percent,0.0005189957542984339,memory_io,0.007055792992346884,compute,0.0023185606840109164,scheduler_runtime,0.002210589359914354
tier0,ALL,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,1,tier0,0.015696886029889962,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0019729697830804835,0.12569179513207657,0.007440693171687535,0.47402352017584837,0.0,0.0,0.002787578298476301,0.17758798102809714,0.0034956447766456397,0.22269670366397798,tier0:uptime_s,0.0023232306154342673,tier0:mem_free_bytes,0.001349311304459631,tier0:ctx_switches,0.001178226577580618,tier0:soft_interrupts,0.0010177689073059078,tier0:swap_used_bytes,0.0006122839920625352,memory_io,0.007440693171687535,platform_pressure,0.0034956447766456397,scheduler_runtime,0.002787578298476301
tier0,ALL,VIDEO_SW__NOMINAL,VIDEO_SW,NOMINAL,0,tier0,0.004408971114036262,0.0,0.0,1.0,0.0,0.0,memory_io,0.0012018422611666743,0.272590187161927,0.0025829249101031863,0.5858339379635008,0.0,0.0,0.00041391080819211905,0.0938792288464775,0.00021029313457428202,0.04769664602809472,tier0:cpu_times_idle_pct,0.0002587504884344595,tier0:swap_used_bytes,0.0002191006989433987,tier0:disk_write_IOPS,0.0002158295592859573,tier0:net_recv_Pps,0.0002104427877408563,tier0:net_recv_Bps,0.0002075864367684322,memory_io,0.0025829249101031863,compute,0.0012018422611666743,scheduler_runtime,0.00041391080819211905
tier0,ALL,VIDEO_SW__TLB,VIDEO_SW,TLB,1,tier0,0.0106326768029929,0.0,0.0,1.0,0.0,0.0,memory_io,0.002059050941808198,0.1936531110612347,0.005292619654246334,0.497769259078444,0.0,0.0,0.0019517607177840927,0.18356249831977478,0.001329245489154275,0.12501513154054653,tier0:mem_free_bytes,0.0010405439557570407,tier0:uptime_s,0.0009448918033485438,tier0:ctx_switches,0.0008767346570952876,tier0:soft_interrupts,0.0008418868359411746,tier0:swap_used_bytes,0.0005697645485517378,memory_io,0.005292619654246334,compute,0.002059050941808198,scheduler_runtime,0.0019517607177840927
tier0_tier1,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,tier0,0.005833436583925733,0.0011425205087464637,0.0,0.836220249985968,0.16377975001403164,0.0,memory_io,0.002263615249284168,0.32448812674922445,0.0028435717331062845,0.40762460194792144,0.00043256516572614916,0.06200800262669784,0.0006552927562138921,0.09393589259633428,0.0007809121883417059,0.11194337607982202,tier0:uptime_s,0.0004428640328285964,tier0:mem_free_bytes,0.00042776319966221846,tier0:ctx_switches,0.00035617936473448966,tier0:net_sent_Pps,0.00034448340962489827,tier0:cpu_times_idle_pct,0.00033412005164385296,memory_io,0.0028435717331062845,compute,0.002263615249284168,platform_pressure,0.0007809121883417059
tier0_tier1,ALL,BROWSER__BRANCH,BROWSER,BRANCH,1,tier0,0.015007232085019535,0.0022411164231211683,0.0,0.8700677678176882,0.12993223218231176,0.0,memory_io,0.0037582203000663724,0.21788870385432002,0.006701703790010147,0.3885417660042725,0.0010081111886131283,0.05844682394591749,0.0016841243805556846,0.09763974677116644,0.004096188848895373,0.2374829594243237,tier0:uptime_s,0.0022976389925756127,tier0:net_sent_Pps,0.0010708887407066894,tier0:pids_count,0.0006190108514209598,tier0:load15,0.0006142231639429385,tier0:load5,0.0006109691609066369,memory_io,0.006701703790010147,platform_pressure,0.004096188848895373,compute,0.0037582203000663724
tier0_tier1,ALL,BROWSER__CACHE,BROWSER,CACHE,1,tier0,0.011149196014351903,0.0044366631058959695,0.0,0.7153404844951909,0.2846595155048091,0.0,compute,0.004994062793189749,0.32042268280879505,0.004402207874716754,0.28244884293851763,0.0023869765777985736,0.1531501445882832,0.0019438014239953885,0.1247157060126484,0.001858810450547406,0.1192626236517557,tier0:uptime_s,0.0008767761053844867,tier0:mem_free_bytes,0.0006996260562083839,tier0:pids_count,0.0006755268154960254,tier1_alt:temp_cpu_temp_avg,0.0006652409889809495,tier0:soft_interrupts,0.0006246591025076498,compute,0.004994062793189749,memory_io,0.004402207874716754,thermal_power,0.0023869765777985736
tier0_tier1,ALL,BROWSER__MEMBW,BROWSER,MEMBW,1,tier0,0.010802778420115733,0.0021483403919094896,0.0,0.8341193202617571,0.16588067973824297,0.0,memory_io,0.003160624698213349,0.2440425992601259,0.006222374058108104,0.48045069684100017,0.0007316389284020453,0.05649233390730015,0.000941157077997644,0.07266994393748992,0.001895324049304079,0.14634442605408382,tier0:net_sent_Pps,0.001601174531332299,tier0:uptime_s,0.0011692234351601434,tier0:net_recv_Pps,0.0006401066292355804,tier0:net_sent_Bps,0.00045712867684131114,tier1_alt:memory_swap_total,0.0004339269926480175,memory_io,0.006222374058108104,compute,0.003160624698213349,platform_pressure,0.001895324049304079
tier0_tier1,ALL,BROWSER__NOMINAL,BROWSER,NOMINAL,0,tier0,0.003784619969833034,0.0009275895084004703,0.0,0.8031518945231184,0.19684810547688167,0.0,compute,0.0018743459155509219,0.39776370813072803,0.0016189288268042123,0.3435604538130827,0.0002939665443311106,0.06238401448173983,0.00045839842118138295,0.09727887168403762,0.0004665697703658766,0.09901295189041184,tier0:cpu_times_idle_pct,0.00039563294951214305,tier0:mem_free_bytes,0.00026044962679060954,tier1_alt:ecpu_usage_0,0.000213161777500728,tier0:ctx_switches,0.0001979371225830526,tier0:net_sent_Bps,0.00018941899492298564,compute,0.0018743459155509219,memory_io,0.0016189288268042123,platform_pressure,0.0004665697703658766
tier0_tier1,ALL,BROWSER__TLB,BROWSER,TLB,1,tier0,0.009403911438754207,0.004908687335148221,0.0,0.6570373128813815,0.34296268711861844,0.0,memory_io,0.004633081287090967,0.32370650224185143,0.005028161022245931,0.3513101360330363,0.0022489881430018317,0.15713345832782186,0.0017069164443742635,0.11925971455908148,0.0006954518771894347,0.048590188838208793,tier0:mem_free_bytes,0.0009666050290051354,tier0:ctx_switches,0.0006768604503376557,tier1_alt:pcpu_usage_0,0.0006490796503154713,tier0:net_sent_Pps,0.0006367080354880975,tier1_alt:temp_cpu_temp_avg,0.000496983730702202,memory_io,0.005028161022245931,compute,0.004633081287090967,thermal_power,0.0022489881430018317
tier0_tier1,ALL,PY_AI__ATOMIC,PY_AI,ATOMIC,1,tier0,0.012930023214608254,0.0023212268036825858,0.0,0.8478008818359979,0.15219911816400203,0.0,memory_io,0.003195210756568946,0.2095048440447128,0.006630261347415939,0.4347356013090245,0.0011773908439411415,0.07719962904870718,0.0030134969943443743,0.19759016413279462,0.0012348900760204423,0.08096976146476108,tier0:mem_free_bytes,0.001309600329909153,tier0:ctx_switches,0.0010055499471277951,tier0:mem_inactive_bytes,0.0006957858346795203,tier0:syscalls,0.00068011393401995,tier0:mem_used_bytes,0.0006331175707991692,memory_io,0.006630261347415939,compute,0.003195210756568946,scheduler_runtime,0.0030134969943443743
