config,holdout_workload,case_id,workload,stressor,stressor_family,label,diagnosis_block_mode,diagnosis_selected_blocks,diagnosis_selected_block_idxs,diagnosis_peak_block_idx,diagnosis_peak_block_score,diagnosis_focus_score_mean,diagnosis_focus_score_max,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3,feature_profile
tier0,ALL,VIDEO_SW__CACHE,VIDEO_SW,CACHE,memory_pressure,1,peak_window,5,"128,129,130,131,132",128,0.011556913356468069,0.011532096811838317,0.011556913356468069,tier0,0.006421440172362598,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.002085852789273757,0.32482632139922635,0.003417815821790444,0.5322506680822893,0.0,0.0,0.00034478675068076834,0.053693056608189675,0.0005729848106176295,0.08922995391029467,tier0:mem_free_bytes,0.0003625407728482358,tier0:disk_write_IOPS,0.0002849240883135614,tier0:disk_write_Bps,0.0002836491101922598,tier0:net_recv_Bps,0.00026219694675583754,tier0:cpu4_pct,0.00024916160313830543,memory_io,0.003417815821790444,compute,0.002085852789273757,platform_pressure,0.0005729848106176295,full
tier0,ALL,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,memory_pressure,1,post_persist,5,"35,36,37,38,39",61,0.019896922258545804,0.017926226949394084,0.018275383553481836,tier0,0.00715899243177585,0.0,0.0,1.0,0.0,0.0,memory_io,0.001747653295380391,0.24412000879107934,0.004215306420995639,0.5888128058755323,0.0,0.0,0.0002709156549290781,0.03784270726793814,0.0009251170604707422,0.12922447806545018,tier0:swap_sin_bytes,0.0004466552746196582,tier0:mem_free_bytes,0.0003532016065895471,tier0:net_sent_Bps,0.0003417679077714331,tier0:net_recv_Bps,0.00033105010571944275,tier0:load15,0.0003243826820308274,memory_io,0.004215306420995639,compute,0.001747653295380391,platform_pressure,0.0009251170604707422,full
tier0,ALL,VIDEO_SW__NOMINAL,VIDEO_SW,NOMINAL,benign,0,peak_window,5,"614,615,616,617,618",614,0.02085626551498269,0.02051509956434245,0.02085626551498269,tier0,0.0021739233370459913,0.0,0.0,1.0,0.0,0.0,compute,0.0010226603278098018,0.4704215233272352,0.0009213560383711771,0.4238217708372138,0.0,0.0,0.00010905329291358465,0.05016427721033179,0.00012085367795142799,0.055592428625219376,tier0:cpu_times_idle_pct,0.00021363821366902222,tier0:net_sent_Bps,0.0001264218496718387,tier0:net_sent_Pps,0.00011000690603310067,tier0:pids_count,7.628930254691978e-05,tier0:cpu1_pct,7.444223014989151e-05,compute,0.0010226603278098018,memory_io,0.0009213560383711771,platform_pressure,0.00012085367795142799,full
tier0,ALL,VIDEO_SW__TLB,VIDEO_SW,TLB,memory_pressure,1,peak_window,5,"880,881,882,883,884",880,0.010165739504810941,0.010148965702503846,0.010165739504810941,tier0,0.005102051792809642,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0018337367827104146,0.3594116361763934,0.002782389457001525,0.5453471603174955,0.0,0.0,0.00015005319626171172,0.029410363194113942,0.00033587235683599036,0.06583084031199717,tier0:mem_free_bytes,0.00027883432384977035,tier0:cpu_times_idle_pct,0.00026615107189521597,tier0:net_sent_Bps,0.0002623242135504416,tier0:disk_write_Bps,0.00025839940961981125,tier0:disk_write_IOPS,0.0002455082848195011,memory_io,0.002782389457001525,compute,0.0018337367827104146,platform_pressure,0.00033587235683599036,full
tier0_tier1,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,synchronization,1,peak_window,5,"0,1,2,3,4",0,0.006986116855687892,0.006938321264682003,0.006986116855687892,tier0,0.003275386926438481,0.001009970932273212,0.0,0.7643205152120389,0.2356794847879611,0.0,compute,0.0019246582160665836,0.44912426908617464,0.0015893986713171196,0.37089053556776713,0.00039106687501848863,0.09125652697206833,0.00013160547103985607,0.030710497321085016,0.0002486286252696452,0.058018171052904875,tier0:cpu_times_idle_pct,0.00027804238250567003,tier0:net_sent_Pps,0.0002644813925079928,tier1_alt:pcpu_usage_0,0.00017768705297868404,tier0:cpu_times_user_pct,0.00016919358307092714,tier1_alt:ecpu_usage_0,0.0001612857074487299,compute,0.0019246582160665836,memory_io,0.0015893986713171196,thermal_power,0.00039106687501848863,full
tier0_tier1,ALL,BROWSER__BRANCH,BROWSER,BRANCH,control_flow,1,post_persist,5,"0,1,2,3,4",23,0.036393915342511074,0.0315146389202212,0.0320910983799848,tier0,0.007990012672105227,0.0021032458805868557,0.0,0.7916187453628761,0.2083812546371237,0.0,memory_io,0.003136061445258478,0.3107085218204407,0.003995087596151621,0.39581742360954847,0.0010406867435756252,0.10310711235055524,0.0005532260253034787,0.05481143898329264,0.0013681967424028821,0.13555550323616306,tier0:net_sent_Pps,0.0008311714249924773,tier0:load15,0.0004705554696074775,tier0:load5,0.00046599836231021305,tier0:pids_count,0.00046093370074891827,tier0:load1,0.00043164291048519157,memory_io,0.003995087596151621,compute,0.003136061445258478,platform_pressure,0.0013681967424028821,full
tier0_tier1,ALL,BROWSER__CACHE,BROWSER,CACHE,memory_pressure,1,peak_window_backfill,3,"937,938,939",939,0.015307991083397782,0.015286731140800243,0.015307991083397782,tier0,0.006517843357389496,0.003712164463650642,0.0,0.6371298508671905,0.36287014913280946,0.0,compute,0.004153611218695722,0.4060222916108585,0.002720558919512161,0.2659390850040961,0.0020264547720388174,0.1980892690884353,0.0005815272883572208,0.05684524377011609,0.0007478556224362168,0.07310411052649404,tier1_alt:temp_cpu_temp_avg,0.0005438862688595412,tier0:pids_count,0.0005322234895149792,tier1_alt:gpu_usage_0,0.0003594760515810365,tier0:cpu_times_idle_pct,0.00034536209344730907,tier0:swap_sin_bytes,0.0003365856260909982,compute,0.004153611218695722,memory_io,0.002720558919512161,thermal_power,0.0020264547720388174,full
tier0_tier1,ALL,BROWSER__MEMBW,BROWSER,MEMBW,memory_pressure,1,peak_window,5,"835,836,837,838,839",835,0.01384743931847122,0.01375505562912815,0.01384743931847122,tier0,0.00636060823499847,0.0018188939891939373,0.0,0.7776277896454116,0.22237221035458835,0.0,memory_io,0.002634710564634666,0.3221113574420234,0.004022237135772289,0.49174595538048393,0.0006760205320837806,0.08264812620067802,0.0002601409125388624,0.03180400290979163,0.0005863930791628085,0.07169055806702287,tier0:net_sent_Pps,0.001256780727562283,tier0:net_recv_Pps,0.0004894506457242618,tier1_alt:memory_swap_total,0.0003526872255993914,tier0:net_sent_Bps,0.00034771667647158196,tier0:cpu_times_idle_pct,0.0003144990680074647,memory_io,0.004022237135772289,compute,0.002634710564634666,thermal_power,0.0006760205320837806,full
tier0_tier1,ALL,BROWSER__NOMINAL,BROWSER,NOMINAL,benign,0,peak_window,5,"928,929,930,931,932",928,0.00730010667908357,0.007272195472351452,0.00730010667908357,tier0,0.002533196602031498,0.0007615504729864104,0.0,0.7688592005253481,0.23114079947465196,0.0,compute,0.001568623643692871,0.4760983492744568,0.001022393582127276,0.31031018735230803,0.000264757954667754,0.08035759608840837,0.00013396328425109046,0.040659656477686476,0.00030500861027891676,0.0925742108071403,tier0:cpu_times_idle_pct,0.00032865722240384116,tier1_alt:ecpu_usage_0,0.00015992413800039327,tier0:net_sent_Bps,0.00015010484661810597,tier0:net_sent_Pps,0.0001404600403262282,tier1_alt:temp_gpu_temp_avg,0.00011931929218037923,compute,0.001568623643692871,memory_io,0.001022393582127276,platform_pressure,0.00030500861027891676,full
tier0_tier1,ALL,BROWSER__TLB,BROWSER,TLB,memory_pressure,1,peak_window,5,"169,170,171,172,173",169,0.014630184517989997,0.014609857281007646,0.014630184517989997,tier0,0.0056241491393424665,0.003995101905382119,0.0,0.5846764070500973,0.4153235929499025,0.0,compute,0.0038209210348930252,0.39721606361323775,0.0030055271845234525,0.3124491886685659,0.001882694171119286,0.19572149249101858,0.0004147422218611977,0.04311585381573461,0.0004953664323276243,0.05149740141144298,tier0:net_sent_Pps,0.0004942316282879532,tier1_alt:pcpu_usage_0,0.0004649149141432747,tier1_alt:temp_cpu_temp_avg,0.00040805069806341466,tier0:pids_count,0.0003852382296362724,tier1_alt:gpu_usage_0,0.0003635162503672665,compute,0.0038209210348930252,memory_io,0.0030055271845234525,thermal_power,0.001882694171119286,full
