config,holdout_workload,case_id,workload,stressor,label,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3,feature_profile
tier0,ALL,VIDEO_SW__CACHE,VIDEO_SW,CACHE,1,tier0,0.010412361700804156,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.002085852791055528,0.20032465745926165,0.005522379576227448,0.5303676279129785,0.0,0.0,0.0017980119673742074,0.17268051370471937,0.001006117366146974,0.0966272009230404,tier0:mem_free_bytes,0.001035830780426607,tier0:ctx_switches,0.000861063295487444,tier0:swap_used_bytes,0.00044642514692669284,tier0:uptime_s,0.0004331325549851234,tier0:mem_percent,0.0004211878833432952,memory_io,0.005522379576227448,compute,0.002085852791055528,scheduler_runtime,0.0017980119673742074,mixed
tier0,ALL,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,1,tier0,0.012608657214868103,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0017476532969452482,0.13860740816114972,0.006018212287396016,0.47730794682080446,0.0,0.0,0.0021781124327205905,0.17274737472854484,0.0026646791978062467,0.211337270289501,tier0:uptime_s,0.0017395621365063805,tier0:mem_free_bytes,0.001009147448374707,tier0:ctx_switches,0.0008973559975484717,tier0:soft_interrupts,0.0007524673606207518,tier0:swap_used_bytes,0.00044731121147654655,memory_io,0.006018212287396016,platform_pressure,0.0026646791978062467,scheduler_runtime,0.0021781124327205905,mixed
tier0,ALL,VIDEO_SW__NOMINAL,VIDEO_SW,NOMINAL,0,tier0,0.002780463522093432,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0010226603287027216,0.36780210226701815,0.0012238730947149667,0.44016872905906845,0.0,0.0,0.00034631046968573075,0.12455134438339659,0.00018761962899001248,0.06747782429051696,tier0:cpu_times_idle_pct,0.0002136382138533719,tier0:mem_free_bytes,0.00014538091896467152,tier0:ctx_switches,0.00013398118491730844,tier0:net_sent_Bps,0.000126421849782893,tier0:net_sent_Pps,0.00011000690613032541,memory_io,0.0012238730947149667,compute,0.0010226603287027216,scheduler_runtime,0.00034631046968573075,mixed
tier0,ALL,VIDEO_SW__TLB,VIDEO_SW,TLB,1,tier0,0.008593562821583687,0.0,0.0,1.0,0.0,0.0,memory_io,0.0018337367842037025,0.21338492802985845,0.004137239024841652,0.48143466344954355,0.0,0.0,0.0015596944744149107,0.18149567377311362,0.0010628925381234236,0.12368473474748459,tier0:mem_free_bytes,0.000796669497410009,tier0:uptime_s,0.0007270201810092568,tier0:ctx_switches,0.0007006611996381167,tier0:soft_interrupts,0.0006264973678993088,tier0:swap_used_bytes,0.0004142148238325063,memory_io,0.004137239024841652,compute,0.0018337367842037025,scheduler_runtime,0.0015596944744149107,mixed
tier0_tier1,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,tier0,3.2819904328314285e-05,2.2868035244879023e-06,0.0,0.9348613508826811,0.0651386491173188,0.0,memory_io,8.947255584005331e-06,0.254858861204531,1.7548916383926568e-05,0.4998735984446866,1.0573547263207709e-06,0.03011831045947459,4.803485828889071e-06,0.13682529985521444,2.7496953296604464e-06,0.07832393003609331,tier0:mem_free_bytes,2.3454276197779065e-06,tier0:ctx_switches,1.9164698350509e-06,tier0:uptime_s,1.6918118000960712e-06,tier0:cpu_times_idle_pct,1.6821545869427074e-06,tier0:net_sent_Pps,1.6034053695763492e-06,memory_io,1.7548916383926568e-05,compute,8.947255584005331e-06,scheduler_runtime,4.803485828889071e-06,mixed
tier0_tier1,ALL,BROWSER__BRANCH,BROWSER,BRANCH,1,tier0,8.26181083718124e-05,4.880999178344581e-06,0.0,0.944216583288616,0.055783416711383614,0.0,memory_io,1.3918901259594303e-05,0.15907477972407416,4.656069868345481e-05,0.5321276980655474,2.687306462160142e-06,0.030712387102002157,1.0666929646296844e-05,0.12190901078827862,1.3665271498650915e-05,0.15617612432009761,tier0:uptime_s,8.036230409737834e-06,tier0:net_sent_Pps,4.989314580032807e-06,tier0:mem_percent,4.453238790114934e-06,tier0:mem_available_bytes,4.425096926655922e-06,tier0:mem_inactive_bytes,4.238464753297989e-06,memory_io,4.656069868345481e-05,compute,1.3918901259594303e-05,platform_pressure,1.3665271498650915e-05,mixed
tier0_tier1,ALL,BROWSER__CACHE,BROWSER,CACHE,1,tier0,4.536715616788176e-05,1.0832274553520163e-05,0.0,0.8072529487492656,0.19274705125073457,0.0,memory_io,1.357982328769543e-05,0.24163631398714416,1.9605597614291904e-05,0.3488575838335971,7.223501365865938e-06,0.12853335475362881,8.275498766743247e-06,0.14725235933024786,7.515009686805405e-06,0.13372038809538211,tier0:uptime_s,5.29323042776437e-06,tier1_alt:cpu_temp_c,3.1183148220874147e-06,tier0:soft_interrupts,2.7356800125084945e-06,tier1_alt:cpu_usage_pct,2.195805537829802e-06,tier0:cpu_times_idle_pct,2.148651722799175e-06,memory_io,1.9605597614291904e-05,compute,1.357982328769543e-05,scheduler_runtime,8.275498766743247e-06,mixed
tier0_tier1,ALL,BROWSER__MEMBW,BROWSER,MEMBW,1,tier0,6.212354121905541e-05,4.799673051246123e-06,0.0,0.9282808947003005,0.07171910529969974,0.0,memory_io,1.2398042599392342e-05,0.18525772759982653,3.954686230558172e-05,0.5909289136330592,2.650657462991985e-06,0.03960744402213009,6.893953931210789e-06,0.10301289330435097,5.43369797112469e-06,0.08119302144063334,tier0:net_sent_Pps,7.458442773976678e-06,tier0:net_recv_Pps,3.2166671094781684e-06,tier0:mem_percent,2.922775924416378e-06,tier0:mem_available_bytes,2.9109571608113286e-06,tier0:uptime_s,2.857775922482533e-06,memory_io,3.954686230558172e-05,compute,1.2398042599392342e-05,scheduler_runtime,6.893953931210789e-06,mixed
tier0_tier1,ALL,BROWSER__NOMINAL,BROWSER,NOMINAL,0,tier0,1.8539186442447137e-05,2.41215031966886e-06,0.0,0.8848689061200864,0.1151310938799135,0.0,compute,7.5868527751765696e-06,0.3621178381751298,7.155263267905797e-06,0.341518221445606,1.2422329965342224e-06,0.059291347880981796,2.5239599502235808e-06,0.12046772856934744,2.443027772275828e-06,0.11660486392893492,tier0:cpu_times_idle_pct,1.985805784610006e-06,tier0:mem_free_bytes,1.0739724679572088e-06,tier1_alt:cpu_usage_pct,1.0101663149470007e-06,tier0:ctx_switches,9.138980970673051e-07,tier0:net_sent_Bps,8.804976724231249e-07,compute,7.5868527751765696e-06,memory_io,7.155263267905797e-06,scheduler_runtime,2.5239599502235808e-06,mixed
tier0_tier1,ALL,BROWSER__TLB,BROWSER,TLB,1,tier0,5.2837325077906355e-05,1.0615277077002293e-05,0.0,0.8327054097625987,0.16729459023740137,0.0,memory_io,1.49762605563069e-05,0.23602279571994428,2.8897908009760488e-05,0.45542510517080453,6.250605239934518e-06,0.09850825699275086,9.046102954952063e-06,0.1425647278084444,4.281725393954678e-06,0.06747911430805596,tier0:uptime_s,3.2307756579610382e-06,tier0:soft_interrupts,2.9762726780808357e-06,tier1_alt:cpu_usage_pct,2.6030586459290384e-06,tier1_alt:gpu_temp_c,2.5526197832476197e-06,tier0:syscalls,2.536144661374846e-06,memory_io,2.8897908009760488e-05,compute,1.49762605563069e-05,scheduler_runtime,9.046102954952063e-06,mixed
